Petal_Length,Petal_Width,Class
1.4,0.2,Iris-setosa
1.5,0.2,Iris-setosa
1.5,0.2,Iris-setosa
1.6,0.2,Iris-setosa
1.5,0.4,Iris-setosa
1.5,0.3,Iris-setosa
1.7,0.5,Iris-setosa
1.5,0.2,Iris-setosa
1.5,0.4,Iris-setosa
1.2,0.2,Iris-setosa
1.5,0.2,Iris-setosa
1.6,0.6,Iris-setosa
1.4,0.2,Iris-setosa
4.5,1.5,Iris-versicolor
4.5,1.3,Iris-versicolor
3.9,1.4,Iris-versicolor
4.7,1.4,Iris-versicolor
4.1,1,Iris-versicolor
4,1.3,Iris-versicolor
4.4,1.4,Iris-versicolor
3.5,1,Iris-versicolor
5.1,1.6,Iris-versicolor
4.4,1.3,Iris-versicolor
4.6,1.4,Iris-versicolor
4.2,1.2,Iris-versicolor
4.1,1.3,Iris-versicolor